Service Name;Service Code;Role;Region;% Direct_110A;Source_110A;% Direct_AD10;Source_AD10;Missing
CSU;DB1701;SCI; ;;;;;False
CSU;DB1701;CPA;AP;90.0;RDPM;;;False
CSU;DB1701;CPL;AP;90.0;RDPM;;;False
CSU;DB1701;CQL;AP;;;;;False
CSU;DB1701;CRA;AP;93.0;RDPM;;;False
CSU;DB1701;CSO;AP;90.0;RDPM;;;False
CSU;DB1701;CTAM;AP;90.0;RDPM;;;False
CSU;DB1701;IOS;AP;75.0;RDPM;75.0;RDPM;False
CSU;DB1701;IPM;AP;;;;;False
CSU;DB1701;LSPM;AP;;;;;False
CSU;DB1701;MDA;AP;90.0;RDPM;90.0;RDPM;False
CSU;DB1701;CPA;EUR;90.0;RDPM;;;False
CSU;DB1701;CPL;EUR;90.0;RDPM;90.0;RDPM;False
CSU;DB1701;CRA;EUR;93.0;RDPM;;;False
CSU;DB1701;CSO;EUR;90.0;RDPM;;;False
CSU;DB1701;CTAM;EUR;90.0;RDPM;;;False
CSU;DB1701;IOS;EUR;;;;;False
CSU;DB1701;IPM;EUR;;;;;False
CSU;DB1701;LSPM;EUR;;;;;False
CSU;DB1701;MDA;EUR;90.0;RDPM;90.0;RDPM;False
CSU;DB1701;CPA;LAM;90.0;RDPM;;;False
CSU;DB1701;CPL;LAM;90.0;RDPM;;;False
CSU;DB1701;CRA;LAM;93.0;RDPM;;;False
CSU;DB1701;CSO;LAM;;;;;False
CSU;DB1701;CTAM;LAM;90.0;RDPM;;;False
CSU;DB1701;IOS;LAM;;;;;False
CSU;DB1701;LSPM;LAM;;;;;False
CSU;DB1701;MDA;LAM;90.0;RDPM;;;False
CSU;DB1701;CPA;NAM;90.0;RDPM;;;False
CSU;DB1701;CPL;NAM;90.0;RDPM;;;False
CSU;DB1701;CRA;NAM;93.0;RDPM;;;False
CSU;DB1701;CSO;NAM;;;;;False
CSU;DB1701;CTAM;NAM;;;;;False
CSU;DB1701;IOS;NAM;75.0;RDPM;;;False
CSU;DB1701;LSPM;NAM;;;;;False
CSU;DB1701;MDA;NAM;90.0;RDPM;90.0;RDPM;False
CSU;DB1701;PM;NAM;0.0;RDPM;;;False
CSU;DB1701;CPA;TBD;;;;;False
CSU;DB1701;CPL;TBD;;;;;False
CSU;DB1701;CQL;TBD;;;;;False
CSU;DB1701;CRA;TBD;;;;;False
CSU;DB1701;CTAM;TBD;;;;;False
CSU;DB1701;IOS;TBD;;;;;False
CSU;DB1701;LSPM;TBD;;;;;False
CSU;DB1701;MDA;TBD;;;;;False
CSC;DB1800;CSSM; ;100.0;RDPM;;;False
CSC;DB1800;CSSS; ;100.0;RDPM;;;False
CSC;DB1800;DIST; ;100.0;RDPM;100.0;RDPM;False
CSC;DB1800;EXP; ;;;90.0;RDPM;False
CSC;DB1800;INST; ;;;;;False
CSC;DB1800;IPCL; ;;;;;False
CSC;DB1800;IPM; ;100.0;RDPM;;;False
CSC;DB1800;MWD; ;;;;;False
CSC;DB1800;OPRUN; ;;;100.0;RDPM;False
CSC;DB1800;PACK; ;100.0;RDPM;100.0;RDPM;False
CSC;DB1800;PPSL; ;100.0;RDPM;;;False
CSC;DB1800;REM; ;;;;;False
CSC;DB1800;RSUP; ;100.0;RDPM;100.0;RDPM;False
CSC;DB1800;TECI; ;;;;;False
CSC;DB1800;TSOM; ;;;;;False
CSC;DB1800;WRI; ;;;;;False
