Service Code;Service Name;Role;Region;2024 Q1_WL;2024 Q2_WL;2024 Q3_WL;2024 Q4_WL;2025 Q1_WL;2025 Q2_WL;2025 Q3_WL;2025 Q4_WL;2026 Q1_WL;2026 Q2_WL;2026 Q3_WL;2026 Q4_WL;2024 Q1_HC;2024 Q2_HC;2024 Q3_HC;2024 Q4_HC;2025 Q1_HC;2025 Q2_HC;2025 Q3_HC;2025 Q4_HC;2026 Q1_HC;2026 Q2_HC;2026 Q3_HC;2026 Q4_HC;2024 Q1_110A;2024 Q2_110A;2024 Q3_110A;2024 Q4_110A;2025 Q1_110A;2025 Q2_110A;2025 Q3_110A;2025 Q4_110A;2026 Q1_110A;2026 Q2_110A;2026 Q3_110A;2026 Q4_110A;2024 Q1_AD10;2024 Q2_AD10;2024 Q3_AD10;2024 Q4_AD10;2025 Q1_AD10;2025 Q2_AD10;2025 Q3_AD10;2025 Q4_AD10;2026 Q1_AD10;2026 Q2_AD10;2026 Q3_AD10;2026 Q4_AD10;2024 1Q_Tops_110A;2024 2Q_Tops_110A;2024 3Q_Tops_110A;2024 4Q_Tops_110A;2024 1Q_Tops_AD10;2024 2Q_Tops_AD10;2024 3Q_Tops_AD10;2024 4Q_Tops_AD10;2025 1Q_Tops_110A;2025 2Q_Tops_110A;2025 3Q_Tops_110A;2025 4Q_Tops_110A;2025 1Q_Tops_AD10;2025 2Q_Tops_AD10;2025 3Q_Tops_AD10;2025 4Q_Tops_AD10;2026 1Q_Tops_110A;2026 2Q_Tops_110A;2026 3Q_Tops_110A;2026 4Q_Tops_110A;2026 1Q_Tops_AD10;2026 2Q_Tops_AD10;2026 3Q_Tops_AD10;2026 4Q_Tops_AD10
BS1000;STAT;PRG; ;0.0199196768953846;0.4199159253646154;34.48898682215455;34.58878878082728;30.72755365559688;29.42634696930923;29.30779585206666;29.23203618545;26.97207674351094;25.832677580176924;25.845367613683337;25.74969775455;0.0;0.0;2.1200014630954547;2.1200014630954547;2.12000332775;2.1200042837938464;2.12000332775;2.120001444633333;2.12000332775;2.1200042837938464;2.12000332775;2.12000332775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.30000569589546;24.300005695895457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BS1000;STAT;STD-RES; ;0.0500007306923078;0.0499988112784616;18.050001605440908;16.79999700668636;16.049998958743753;15.599994976127691;15.299997137483333;15.74999422861667;12.799997814450002;12.799998770493849;12.799999697566667;12.799999697566667;0.0;0.0;7.609997646049999;7.609997646050001;8.409997738690626;8.409985011356923;8.409987734633336;8.410004682683335;8.409999680654687;8.409985011356923;8.409987734633335;8.409987734633335;0.0;0.0;2.0000013089454547;2.0000013089454547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BS1000;STAT;STT; ;-1.5034100700904722;-3.932299691670473;207.7768091157632;211.1723316326278;202.9785887807322;200.0117754540942;210.45266547237333;204.46592612154333;152.8477054446891;147.54652001425433;137.776098663665;132.9298186427867;0.0;0.0;90.89832756955911;107.84985357479096;114.84000621964064;114.93983984346764;114.93987107423334;115.54007496628336;115.54002017935784;115.53983957669998;115.53986970656663;115.53986970656666;0.0;0.0;63.490644719550026;60.03003694398637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.70000485205909;20.70000485205909;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BS1000;STAT;STT-BM; ;-0.0499988112784614;0.0451158224538459;24.105566165077267;25.70365835516364;28.932839018135947;27.44079686786308;28.043141776650003;27.92270893335;19.833242072995315;19.207303286769232;19.179247600683336;19.115150075583333;0.0;0.0;7.089997608177273;7.089997608177273;7.089998158271874;7.089986745498463;7.089990743500001;7.090005808433333;7.089998158271875;7.089986745498463;7.089990743500001;7.089990743500002;0.0;0.0;5.000003272363637;5.000003272363637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BS1000;STAT;STT-ECB; ;-0.0414355383452308;0.1512912704160003;23.519706966659093;25.11039888574364;22.424037496184848;20.75363250463462;23.180096744711676;23.477857600096662;4.019869299106719;2.017508161509077;1.9279178952833336;2.1649213096000004;0.0;0.0;5.776665003181818;6.7099974350909095;6.70999851445;6.709986085880002;6.709989098866668;6.710002280683333;6.709996572485936;6.709986085880002;6.709989098866668;6.709989098866668;0.0;0.0;8.870005880786364;6.87000457184091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0000006544727271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BS1001;CMEI;PRG; ;0.1105467210553845;-0.4224917787461539;1.6372770673786363;0.6899469173890909;0.6613475132687501;0.198740291442;0.07768534172;0.06944519981;0.1663816549828125;0.2866315055153846;0.16712472105;0.04761837115;0.0;0.0;0.900000210959091;0.900000210959091;0.9000013028015625;0.8999986438046155;0.8999998316166667;0.9000017147333335;0.8999993608375001;0.8999986438046155;0.8999998316166667;0.8999998316166667;0.0;0.0;0.8500009343681818;0.8500009343681818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BS1001;CMEI;STT; ;-0.4640701214815399;-0.6917183618769238;7.451818838234545;4.814000670516364;4.40475511870625;1.7096165353604615;0.4616584794033334;0.4534183374933334;0.5034813707000001;0.6229868514692308;0.5034794875833333;0.3789132032;0.0;0.0;7.900001011604544;7.900001011604544;7.900010788381252;7.899989157889229;7.899998312733333;7.900013377666668;7.899995252668749;7.899989157889229;7.899998312733333;7.899998312733333;0.0;0.1999990839415384;1.800000421918182;1.800000421918182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1100;CQCI;CLIA; ;39.66083102835232;40.954320180447695;41.912885081368174;39.15314618237274;60.22816567766797;67.05070261390094;66.63751579505998;64.48713798378834;57.772324910841405;64.66524109248756;69.635119093365;72.16521288047167;35.411433036696934;34.615377257556915;35.03403564694999;35.99994416708181;36.714861895971886;36.75005966596463;36.75001980183333;36.75001980183333;36.750100775850015;36.75005966596463;36.75001980183333;36.75001980183333;0.7499975244876924;0.7499994439015385;0.7499986005227273;0.7499986005227273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1100;CQCI;CPQM; ;33.94001095805954;34.677505804636155;36.96394061657956;36.90215379787002;43.34559681685406;44.85954001955462;44.64269015436999;44.57119970154834;38.40900571017125;38.006743354485245;36.38069279233667;35.09932229027;20.87234148906001;24.011540915030764;25.3772774441;25.350005626959096;26.350042350723445;26.34997952071692;26.350007101133336;26.350052295933335;26.34999768555;26.34997952071692;26.350007101133336;26.350007101133336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1200;CPM;CTM; ;-2.0758349420151148;-3.2168042068914846;265.3882436239241;274.8804036411373;239.43497836712788;246.554024346168;239.36048113015508;235.25091118693496;215.1692441027216;214.2015474384703;214.4603356415917;213.48505953940665;0.0;0.0;113.07942441415004;119.14730070491822;122.30033109873906;122.3898535805508;122.68999589770006;123.29022991961672;120.67994657516871;120.67985634853083;120.67999671315006;120.67999671315005;0.0;0.0;123.9479476934046;121.13581824806823;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
